real,forecast,base_r,base_p,fe_r,fe_p
0.0,0.011551738,0,107.08052923114155,0,1449.1453517653426
0.0,0.011759758,0,1770.3124806964915,0,-572.2507622640987
0.0,0.011738777,0,-3015.1006127432192,0,-1432.1602503092508
13687.000000000002,13501.559,13687,11467.591758920164,13687,13082.059183927457
0.0,0.012861252,0,4611.190911382,0,2398.1409390488916
730.9999999999998,706.70306,731,4388.672927939449,731,2562.566160383809
0.0,0.011811852,0,-9272.939281490922,0,-5654.864114029733
20072.999999999993,19843.865,20073,17490.664163566755,20073,21696.197806477336
3131.0000000000023,3179.075,3131,12577.635522455064,3131,12074.927475781835
12727.99999999999,12582.571,12728,12704.394003153364,12728,11910.107516034826
10350.999999999998,10254.2705,10351,23677.82883208891,10351,20719.827737006566
0.0,0.011804223,0,-996.6076475873851,0,-135.4143746366899
0.0,0.011804223,0,2313.0694974140642,0,801.9640157565809
1576.0000000000002,1553.3956,1576,1337.0688689097442,1576,1505.3918237403122
0.0,0.011738777,0,-5236.874274311398,0,382.21133522457967
3048.9999999999986,2932.1682,3049,8843.82587227819,3049,7285.1117370796055
0.0,0.011759758,0,999.3482141300337,0,-1124.6964024319168
21125.00000000001,20755.283,21125,17716.19768886271,21125,22799.102504831928
0.0,0.011759758,0,1936.3267577515217,0,1948.48094114985
0.0,0.011759758,0,-676.0896142522834,0,-844.1940590963786
0.0,0.011759758,0,659.7406452691939,0,-528.8431637930917
0.0,0.011759758,0,2389.935457063708,0,-35.75528284722532
16800.000000000004,16486.309,16800,9127.28659932621,16800,10143.086324834818
0.0,0.011759758,0,602.2654416620499,0,2688.956511663353
0.0,0.012913227,0,7239.046919622655,0,6010.43789610983
2184.0,2168.4895,2184,5232.096962515498,2184,8182.777688339433
0.0,0.011738777,0,-2625.790161202094,0,-1861.7492659473282
0.0,0.011759758,0,1646.7600380166405,0,-984.1730521550853
23143.999999999985,22800.209,23144,20383.740509334646,23144,18594.610718068056
0.0,0.011759758,0,1593.9435614854883,0,215.22547643087455
35777.99999999998,34800.164,35778,29303.98508784324,35778,31388.354412776207
1344.0000000000002,1333.9359,1344,2542.4172626227883,1344,1069.9686488304396
21404.00000000001,21152.15,21404,15662.461773754883,21404,18781.73232373516
14586.99999999999,14382.366,14587,12701.33843470813,14587,12850.193643613791
28581.000000000004,28321.299,28581,25567.280767332457,28581,26218.705695561344
0.0,0.011488557,0,-1591.014439847815,0,-466.27497457329446
0.0,0.011804223,0,1449.8599862680858,0,2229.4915421135374
0.0,0.012907267,0,-3255.0368357604457,0,-3137.8411951994494
0.0,0.011759758,0,2853.237141395366,0,4507.699456506431
1692.9999999999993,1657.8159,1693,3359.95496698271,1693,4215.193537020328
0.0,0.011759758,0,616.6535171948344,0,-264.5042510372223
0.0,0.011759758,0,822.9827180775756,0,650.8229289334267
1091.0000000000002,1063.3108,1091,1855.487318696556,1091,2156.1964543287395
20493.000000000004,20075.432,20493,13873.82036400029,20493,18907.741723539635
7628.9999999999945,7507.192,7629,9252.021455715832,7629,6734.295025473824
2918.0000000000005,2841.48,2918,18745.5724782815,2918,10935.489767634575
0.0,0.011360407,0,-4073.406780319754,0,-3150.4803061585553
0.0,0.012957692,0,-1610.7144850352051,0,-646.163377316625
0.0,0.011759758,0,-2769.8122937270236,0,-3568.649524904882
17506.000000000007,17272.1,17506,11952.96972223706,17506,12045.069974408907
0.0,0.011551738,0,-5540.194536998839,0,-2720.5872797285483
17622.999999999985,17496.086,17623,15556.574886796792,17623,20281.32841906693
20277.999999999985,19843.865,20278,17161.726102754175,20278,20868.569524487473
0.0,0.012913227,0,3686.82377391505,0,1367.900980605802
20678.000000000015,20373.145,20678,27238.676048423942,20678,29438.000166846443
0.0,0.012957692,0,-621.5855143866575,0,-1625.204987291021
29846.999999999978,29359.99,29847,20522.652013444153,29847,16608.051160411014
22652.000000000015,22426.873,22652,23414.29782195673,22652,20823.644012629233
19577.999999999996,19228.11,19578,20911.458169993028,19578,19704.849218282012
22112.99999999999,21882.48,22113,18962.97373765408,22113,21056.908790163914
0.0,0.011804223,0,1965.084388901174,0,2330.2713288186933
1728.0000000000007,1695.458,1728,13866.086212028036,1728,12412.378195774196
21963.000000000004,21731.863,21963,16545.83083000724,21963,21364.7373483243
24151.000000000015,23887.352,24151,19565.803459873852,24151,20679.041353080313
